network,stations,st_lon,st_lat,st_elv,gr_cir_distance,rhypo,repi,mag,origint,Parrtime,collecttime,endtime,evlat,evlon,evdepth,channels
TA,F04D,-123.010803,46.082901,236.0,447.5836056443823,448.5092240318581,447.5836056444198,2.6,2014-04-27T14:44:16.060000Z,59.67557119410365,2014-04-27T14:45:05.735571Z,2014-04-27T14:48:05.735571Z,42.0876,-123.7236,28800.0,BH*
TA,F04D,-123.010803,46.082901,236.0,77.68566016280644,78.36550130594708,77.68566016281508,3.4,2014-04-07T03:33:11.360000Z,13.500473233949284,2014-04-07T03:33:14.860473Z,2014-04-07T03:36:14.860473Z,45.3911,-122.8684,10300.0,BH*
TA,F04D,-123.010803,46.082901,236.0,503.2113351392007,503.54035370822106,503.21133513922393,2.7,2014-02-21T09:02:22.500000Z,67.56791930761669,2014-02-21T09:03:20.067919Z,2014-02-21T09:06:20.067919Z,41.5787,-122.3565,18200.0,BH*
TA,F04D,-123.010803,46.082901,236.0,21.999943642868946,28.362078913429286,21.999943642918502,2.9,2014-01-26T17:31:32.720000Z,4.885877135490548,2014-01-26T17:31:27.605877Z,2014-01-26T17:34:27.605877Z,45.9349,-122.8222,17900.0,BH*
TA,F04D,-123.010803,46.082901,236.0,60.929240409032765,61.40140337842879,60.929240409187166,2.7,2014-01-25T16:58:24.990000Z,10.580189113386746,2014-01-25T16:58:25.570189Z,2014-01-25T17:01:25.570189Z,46.3158,-122.2962,7600.0,BH*
TA,F04D,-123.010803,46.082901,236.0,395.9928212563859,396.004955128924,395.99282125647306,3.9,2014-01-24T13:53:28.520000Z,56.12405590819096,2014-01-24T13:54:14.644056Z,2014-01-24T13:57:14.644056Z,42.5856,-123.9653,3100.0,BH*
TA,F04D,-123.010803,46.082901,236.0,372.5760078251814,372.7958175831082,372.57600782586377,2.6,2013-12-25T02:28:59.540000Z,52.064515832676754,2013-12-25T02:29:41.604516Z,2013-12-25T02:32:41.604516Z,43.2388,-120.5221,12800.0,BH*
TA,F04D,-123.010803,46.082901,236.0,374.25141712729913,374.4771331100281,374.2514171279859,2.7,2013-12-25T02:07:10.090000Z,52.24770609156228,2013-12-25T02:07:52.337706Z,2013-12-25T02:10:52.337706Z,43.2271,-120.5087,13000.0,BH*
TA,F04D,-123.010803,46.082901,236.0,54.07608217804332,54.386235976962986,54.076082178185786,2.7,2013-11-18T15:26:17.140000Z,9.372688538388276,2013-11-18T15:26:16.512689Z,2013-11-18T15:29:16.512689Z,46.3242,-122.4024,5800.0,BH*
TA,F04D,-123.010803,46.082901,236.0,54.90245316597106,56.94110434174692,54.90245316611736,2.5,2013-08-31T04:14:01.300000Z,9.806581554927083,2013-08-31T04:14:01.106582Z,2013-08-31T04:17:01.106582Z,46.3247,-122.3905,15100.0,BH*
TA,F04D,-123.010803,46.082901,236.0,55.61426447316671,57.42330896863808,55.6142644733136,2.8,2013-08-24T01:12:48.400000Z,9.890113348205077,2013-08-24T01:12:48.290113Z,2013-08-24T01:15:48.290113Z,46.3235,-122.379,14300.0,BH*
TA,F04D,-123.010803,46.082901,236.0,54.86477679540781,56.74851304506345,54.864776795551954,3.4,2013-08-24T01:08:08.300000Z,9.773785250014123,2013-08-24T01:08:08.073785Z,2013-08-24T01:11:08.073785Z,46.323,-122.3897,14500.0,BH*
TA,F04D,-123.010803,46.082901,236.0,53.76086350376166,55.55385175382083,53.76086350390498,3.8,2013-08-23T21:38:35.040000Z,9.568362963743857,2013-08-23T21:38:34.608363Z,2013-08-23T21:41:34.608363Z,46.3433,-122.4237,14000.0,BH*
TA,F04D,-123.010803,46.082901,236.0,131.71766084942124,131.7299593097204,131.71766084979112,2.5,2013-08-14T17:35:28.250000Z,22.70832690930505,2013-08-14T17:35:40.958327Z,2013-08-14T17:38:40.958327Z,45.3065,-121.7331,1800.0,BH*
TA,F04D,-123.010803,46.082901,236.0,53.78393565921598,55.809692124304576,53.78393565935524,2.5,2013-08-08T19:13:22.100000Z,9.61187839832702,2013-08-08T19:13:21.711878Z,2013-08-08T19:16:21.711878Z,46.2991,-122.3875,14900.0,BH*
TA,F04D,-123.010803,46.082901,236.0,62.260320259524846,64.95073116477789,62.26032025969069,2.5,2013-07-09T07:48:11.450000Z,11.183411231085708,2013-07-09T07:48:12.633411Z,2013-07-09T07:51:12.633411Z,46.3808,-122.3273,18500.0,BH*
TA,F04D,-123.010803,46.082901,236.0,317.5032029203166,317.7986372925613,317.50320292086656,2.5,2013-06-30T04:44:10.900000Z,45.14645678833519,2013-06-30T04:44:46.046457Z,2013-06-30T04:47:46.046457Z,43.646,-120.913,13700.0,BH*
TA,F04D,-123.010803,46.082901,236.0,331.64048150583085,331.6453662776853,331.64048150589224,2.8,2013-06-09T15:34:23.290000Z,48.3225371830111,2013-06-09T15:35:01.612537Z,2013-06-09T15:38:01.612537Z,43.149,-122.245,1800.0,BH*
TA,F04D,-123.010803,46.082901,236.0,50.99199372092498,51.79761986471489,50.99199372106867,2.5,2013-05-25T16:40:50.900000Z,8.924417631193709,2013-05-25T16:40:49.824418Z,2013-05-25T16:43:49.824418Z,45.813,-122.479,9100.0,BH*
TA,F04D,-123.010803,46.082901,236.0,65.63266178624447,65.90634486270932,65.63266178635733,2.7,2013-05-21T08:03:05.900000Z,11.35780484483606,2013-05-21T08:03:07.257805Z,2013-05-21T08:06:07.257805Z,46.124,-122.164,6000.0,BH*
TA,F04D,-123.010803,46.082901,236.0,185.08598255418937,189.19159848749905,185.0859825547441,2.6,2013-05-05T10:14:46.290000Z,26.654333557532496,2013-05-05T10:15:02.944334Z,2013-05-05T10:18:02.944334Z,45.09,-124.915,39200.0,BH*
TA,F04D,-123.010803,46.082901,236.0,71.20883272776211,75.73861537190014,71.20883272777773,2.5,2013-04-19T14:21:33.900000Z,12.562129633740833,2013-04-19T14:21:36.462130Z,2013-04-19T14:24:36.462130Z,45.456,-122.822,25800.0,BH*
TA,F04D,-123.010803,46.082901,236.0,473.0597253321191,473.3579446165108,473.059725332402,3.0,2013-04-19T03:24:01.190000Z,64.00856634253745,2013-04-19T03:24:55.198566Z,2013-04-19T03:27:55.198566Z,42.0175,-121.2564,16800.0,BH*
TA,F04D,-123.010803,46.082901,236.0,388.1414255469832,388.25044265997417,388.141425547011,2.8,2013-03-24T19:28:13.590000Z,54.42103774449055,2013-03-24T19:28:58.011038Z,2013-03-24T19:31:58.011038Z,42.617,-122.405,9200.0,BH*
TA,F04D,-123.010803,46.082901,236.0,388.5020236888169,388.610939643146,388.50202368884624,2.5,2013-03-24T12:28:54.400000Z,54.46562558392302,2013-03-24T12:29:38.865626Z,2013-03-24T12:32:38.865626Z,42.614,-122.402,9200.0,BH*
TA,F04D,-123.010803,46.082901,236.0,388.643504349717,388.9604908898202,388.64350434974455,3.2,2013-03-24T11:39:04.500000Z,53.70372695300552,2013-03-24T11:39:48.203727Z,2013-03-24T11:42:48.203727Z,42.612,-122.41,15700.0,BH*
TA,F04D,-123.010803,46.082901,236.0,387.72021651656434,387.8365845245566,387.7202165165927,2.6,2013-03-24T08:00:11.090000Z,54.33296500749644,2013-03-24T08:00:55.422965Z,2013-03-24T08:03:55.422965Z,42.621,-122.403,9500.0,BH*
TA,F04D,-123.010803,46.082901,236.0,65.17542905264375,65.96875436307529,65.17542905279385,2.7,2013-01-31T04:01:12.980000Z,11.364984127904018,2013-01-31T04:01:14.344984Z,2013-01-31T04:04:14.344984Z,46.2818,-122.2167,10200.0,BH*
TA,F04D,-123.010803,46.082901,236.0,51.43872379557245,52.49945052788767,51.438723795698166,3.7,2013-01-31T01:03:16.960000Z,9.04444238648444,2013-01-31T01:03:16.004442Z,2013-01-31T01:06:16.004442Z,45.9223,-122.388,10500.0,BH*
TA,F04D,-123.010803,46.082901,236.0,219.03151030834763,222.65399728759127,219.0315103087743,2.9,2013-01-25T08:58:33.790000Z,30.850803074027848,2013-01-25T08:58:54.640803Z,2013-01-25T09:01:54.640803Z,44.466,-124.607,40000.0,BH*
TA,F04D,-123.010803,46.082901,236.0,231.59250794619257,232.30654260486708,231.5925079466668,2.8,2013-01-25T04:27:41.680000Z,33.98219705100337,2013-01-25T04:28:05.662197Z,2013-01-25T04:31:05.662197Z,44.3922,-124.7353,18200.0,BH*
TA,F04D,-123.010803,46.082901,236.0,222.6653173737364,225.2160819332142,222.66531737418887,2.9,2013-01-25T00:41:11.590000Z,31.40973939802379,2013-01-25T00:41:32.999739Z,2013-01-25T00:44:32.999739Z,44.457,-124.669,33800.0,BH*
TA,F04D,-123.010803,46.082901,236.0,51.528239656525066,54.64795954200153,51.52823965656344,2.9,2012-12-24T00:25:25.200000Z,9.41006623134009,2012-12-24T00:25:24.610066Z,2012-12-24T00:28:24.610066Z,45.652,-122.766,18200.0,BH*
TA,F04D,-123.010803,46.082901,236.0,51.89563740486744,55.26442962395817,51.89563740490549,3.3,2012-11-19T14:15:09.500000Z,9.515789785752084,2012-11-19T14:15:09.015790Z,2012-11-19T14:18:09.015790Z,45.649,-122.764,19000.0,BH*
TA,F04D,-123.010803,46.082901,236.0,266.1877895721356,266.18778957258087,266.18778957258087,2.8,2012-11-14T00:49:54.200000Z,40.44390110244831,2012-11-14T00:50:24.643901Z,2012-11-14T00:53:24.643901Z,44.037,-121.253,0.0,BH*
TA,F04D,-123.010803,46.082901,236.0,65.06920357261627,65.08026777442441,65.0692035727408,2.6,2012-11-13T19:52:00.400000Z,11.219627871280242,2012-11-13T19:52:01.619628Z,2012-11-13T19:55:01.619628Z,46.194,-122.184,1200.0,BH*
TA,F04D,-123.010803,46.082901,236.0,147.38430823379167,152.45699168500963,147.38430823409624,2.9,2012-11-03T23:54:43.590000Z,21.99477290423504,2012-11-03T23:54:55.584773Z,2012-11-03T23:57:55.584773Z,45.025,-124.149,39000.0,BH*
TA,F04D,-123.010803,46.082901,236.0,71.37674656302585,71.99305487297427,71.37674656317058,2.6,2012-09-28T13:46:00.790000Z,12.403527120539971,2012-09-28T13:46:03.193527Z,2012-09-28T13:49:03.193527Z,46.232,-122.112,9400.0,BH*
TA,F04D,-123.010803,46.082901,236.0,321.19509480632394,322.42192687190544,321.1950948065558,2.6,2012-09-22T20:15:31.590000Z,44.1119862213214,2012-09-22T20:16:05.701986Z,2012-09-22T20:19:05.701986Z,43.363,-124.383,28100.0,BH*
TA,F04D,-123.010803,46.082901,236.0,108.08414015544234,108.11540756593816,108.08414015547756,3.5,2012-09-08T04:57:43.140000Z,18.636540142664018,2012-09-08T04:57:51.776540Z,2012-09-08T05:00:51.776540Z,45.1408,-122.6672,2600.0,BH*
TA,F04D,-123.010803,46.082901,236.0,288.89050266079573,288.8905199687796,288.8905026611844,2.5,2012-09-01T17:30:36.070000Z,43.23981057545357,2012-09-01T17:31:09.309811Z,2012-09-01T17:34:09.309811Z,43.778,-121.318,100.0,BH*
