evlon,evlats,evdepth,evM,evorigint
-124.778,42.817,22400.0,3.4,2012-02-26T10:15:11.500000Z
-120.9358,45.129,15500.0,2.5,2012-02-05T17:27:51.750000Z
-122.239,46.342,9100.0,3.5,2012-01-25T10:51:30.790000Z
-122.2757,46.401,7000.0,3.0,2012-01-23T03:07:30.510000Z
-122.8238,45.4347,24400.0,3.0,2011-11-11T22:46:21.800000Z
-122.4475,45.9552,17100.0,2.6,2011-10-19T19:51:07.750000Z
-120.939,45.123,20900.0,2.7,2011-10-18T12:25:30.850000Z
-123.8933,45.2577,17700.0,2.5,2011-10-03T00:52:11.830000Z
-122.6233,45.7937,15500.0,2.7,2011-09-16T17:21:17.680000Z
-122.401,42.616,8900.0,2.8,2011-08-06T00:05:20.160000Z
-122.398,42.616,16500.0,2.6,2011-08-05T17:59:02.400000Z
-121.888,42.203,6100.0,2.7,2011-06-22T10:54:56.990000Z
-123.3955,45.1773,25300.0,2.8,2011-04-28T10:08:00.730000Z
-120.954,45.122,19100.0,2.7,2011-04-05T21:05:52.900000Z
-123.887,45.2598,17600.0,2.8,2011-03-20T18:02:53.790000Z
-122.017,46.092,6500.0,2.7,2011-03-16T10:37:25.380000Z
-121.7607,45.3557,4500.0,2.9,2011-03-02T12:12:09.010000Z
-122.2145,46.2787,6300.0,2.8,2011-02-17T10:55:04.590000Z
-122.2182,46.2793,4700.0,2.5,2011-02-15T05:09:32.390000Z
-122.2165,46.2782,4700.0,2.7,2011-02-14T20:21:42.520000Z
-122.216,46.285,5400.0,2.8,2011-02-14T19:35:08.000000Z
-122.209,46.28,4600.0,3.6,2011-02-14T18:37:45.380000Z
-122.2085,46.2934,6500.0,3.8,2011-02-14T18:35:25.580000Z
-122.201,46.287,3900.0,2.8,2011-01-29T22:44:14.320000Z
-122.209,46.283,3500.0,2.9,2011-01-29T22:26:22.640000Z
-122.7675,45.1595,24900.0,2.5,2011-01-27T01:34:47.890000Z
-120.4777,46.1473,18400.0,2.5,2011-01-12T02:59:48.700000Z
-120.8964,45.1713,14500.0,3.6,2010-12-30T09:17:45.680000Z
-123.2306,44.2423,12200.0,2.5,2010-12-07T16:18:39.340000Z
-121.6672,46.4337,2000.0,2.9,2010-10-27T01:15:10.730000Z
-122.2512,46.361,12300.0,2.8,2010-08-17T19:39:07.430000Z
-122.5015,46.1252,18000.0,2.7,2010-08-04T09:06:26.890000Z
-120.7462,46.117,3300.0,2.5,2010-07-06T11:52:51.410000Z
-124.1737,42.4435,30200.0,3.7,2010-07-03T22:25:19.660000Z
-120.7288,46.1361,1100.0,3.8,2010-06-17T14:23:23.780000Z
-121.752,45.36,5300.0,3.2,2010-05-14T19:03:04.090000Z
-121.7545,45.357,5700.0,2.8,2010-05-14T17:09:42.210000Z
-122.521,46.082,14500.0,2.5,2010-05-13T13:33:45.090000Z
-121.7515,45.3545,6200.0,2.5,2010-05-12T03:02:50.690000Z
-121.7592,45.3608,5700.0,3.0,2010-04-21T12:42:00.230000Z
-120.9314,45.1429,17800.0,2.8,2010-01-02T16:36:45.370000Z
-120.9457,45.1258,19300.0,2.5,2009-10-24T21:15:47.820000Z
-122.1955,46.1977,1100.0,2.8,2009-09-09T19:56:12.760000Z
